=== TBS ===
Tatal ap jobs: 127
clock 0: T3, server deadline:0
clock 1: T6, server deadline:0
clock 2: T6, server deadline:0
clock 3: T6, server deadline:0
clock 4: T6, server deadline:0
clock 5: T2, server deadline:0
clock 6: T2, server deadline:0
clock 7: T2, server deadline:0
clock 8: T2, server deadline:0
clock 9: T2, server deadline:0
clock 10: T2, server deadline:0
clock 11: TA1, server deadline:46
clock 12: TA1, server deadline:46
clock 13: TA1, server deadline:46
clock 14: TA1, server deadline:46
clock 15: T3, server deadline:46
clock 16: TA1, server deadline:46
clock 17: TA1, server deadline:46
clock 18: TA1, server deadline:46
TA1 finishs: 11 ~ 19
Current total_response_time: 8
clock 19: T2, server deadline:46
clock 20: T7, server deadline:46
clock 21: T7, server deadline:46
clock 22: T7, server deadline:46
clock 23: T7, server deadline:46
clock 24: TA2, server deadline:81
clock 25: TA2, server deadline:81
clock 26: TA2, server deadline:81
clock 27: TA2, server deadline:81
clock 28: TA2, server deadline:81
clock 29: TA2, server deadline:81
clock 30: T3, server deadline:81
clock 31: TA2, server deadline:81
TA2 finishs: 24 ~ 32
Current total_response_time: 16
clock 32: TA3, server deadline:116
clock 33: TA3, server deadline:116
clock 34: TA3, server deadline:116
clock 35: TA3, server deadline:116
clock 36: TA3, server deadline:116
clock 37: TA3, server deadline:116
clock 38: TA3, server deadline:116
TA3 finishs: 32 ~ 39
Current total_response_time: 23
clock 39: T5, server deadline:116
clock 40: T5, server deadline:116
clock 41: TA4, server deadline:136
clock 42: TA4, server deadline:136
clock 43: TA4, server deadline:136
clock 44: TA4, server deadline:136
TA4 finishs: 41 ~ 45
Current total_response_time: 27
clock 45: T3, server deadline:136
clock 46: T5, server deadline:136
clock 47: T5, server deadline:136
clock 48: T6, server deadline:151
clock 49: T6, server deadline:151
clock 50: T6, server deadline:151
clock 51: T6, server deadline:151
clock 52: T5, server deadline:151
clock 53: TA5, server deadline:151
clock 54: TA5, server deadline:151
clock 55: TA5, server deadline:151
TA5 finishs: 48 ~ 56
Current total_response_time: 35
For TA6, New deadline: 151 + 5 = 156
clock 56: TA6, server deadline:156
TA6 finishs: 54 ~ 57
Current total_response_time: 38
clock 57: T9, server deadline:156
clock 58: T9, server deadline:156
clock 59: T9, server deadline:156
clock 60: T3, server deadline:156
clock 61: T9, server deadline:156
clock 62: T9, server deadline:156
clock 63: T9, server deadline:156
clock 64: T9, server deadline:156
clock 65: T9, server deadline:156
clock 66: T9, server deadline:156
clock 67: T9, server deadline:156
clock 68: TA7, server deadline:176
clock 69: TA7, server deadline:176
clock 70: TA7, server deadline:176
